PSME1,PSME1
CISD1,CISD1
SPDEF,SPDEF
ATF1,ATF1
RHEB,RHEB
IGF1R,IGF1R
FOXO3,FOXO3
GSTM2,GSTM2
RHOA,RHOA
IL1B,IL1B
ASAH1,ASAH1
RALA,RALA
ARHGEF12,ARHGEF12
SOX2,SOX2
SERPINE1,SERPINE1
HLA-DMA,HLA-DMA
EGF,EGF
SPTLC2,SPTLC2
APP,APP
TSKU,TSKU
TMEM2,CEMIP2
NOS3,NOS3
CSNK1A1,CSNK1A1
NFATC4,NFATC4
TBP,TBP
SLC2A6,SLC2A6
EZH2,EZH2
ICAM3,ICAM3
BRCA1,BRCA1
PSMD4,PSMD4
PHKG2,PHKG2
ETV1,ETV1
KDM5B,KDM5B
COG4,COG4
MCM3,MCM3
TERT,TRT
SNX13,SNX13
PAK4,PAK4
DPH2,DPH2
SNX6,SNX6
EED,EED
WIPF2,WIPF2
NENF,NENF
RPN1,RPN1
C2CD2L,C2CD2L
GABPB1,GABPB1
POLR2K,POLR2K
PTK2B,PTK2B
PAF1,PAF1
POLR1C,POLR1C
RUVBL1,RUVBL1
AKT1,AKT1
SENP6,SENP6
HSPB1,HSPB1
EBP,EBP
CASK,CASK
RRP8,RRP8
PIK3C3,PIK3C3
BHLHE40,BHLHE40
BDH1,BDH1
SH3BP5,SH3BP5
PPP2R5A,PPP2R5A
EML3,EML3
BIRC5,BIRC5
EPRS,EPRS
PAX8,PAX8
CBLB,CBLB
PDS5A,PDS5A
DFFB,DFFB
TGFB3,TGFB3
NMT1,NMT1
ARFIP2,ARFIP2
STAMBP,STAMBP
PRKX,PRKX
FAH,FAH
PLP2,PLP2
SOX4,SOX4
TESK1,TESK1
HN1L,JPT2
RRAGA,RRAGA
ELOVL6,ELOVL6
ACBD3,ACBD3
PMAIP1,PMAIP1
TWF2,TWF2
HDAC6,HDAC6
CCND1,CCND1
PXN,PXN
PHKB,PHKB
NFKBIB,NFKBIB
CASC3,CASC3
MLEC,MLEC
GLI2,GLI2
USP22,USP22
TMED10,TMED10
CHERP,CHERP
PIK3CA,PIK3CA
TRAPPC6A,TRAPPC6A
ATP2C1,ATP2C1
USP14,USP14
APPBP2,APPBP2
RPS6,RPS6
ECH1,ECH1
HDAC2,HDAC2
DFFA,DFFA
MRPL19,MRPL19
SUZ12,SUZ12
CSNK2A2,CSNK2A2
TICAM1,TICAM1
KIAA0100,KIAA0100
PAICS,PAICS
CDK2,CDK2
EDN1,EDN1
KIAA0494,EFCAB14
SQSTM1,SQSTM1
HIF1A,HIF1A
WRB,GET1
ETFB,ETFB
CAMSAP2,CAMSAP2
ARNT2,ARNT2
SPAG7,SPAG7
MAPK1IP1L,MAPK1IP1L
MSH6,MSH6
UBE2C,UBE2C
HS2ST1,HS2ST1
TXLNA,TXLNA
DNAJB1,DNAJB1
TOPBP1,TOPBP1
ABCF1,ABCF1
LGMN,LGMN
PTGS2,PTGS2
PLA2G4A,PLA2G4A
MAT2A,MAT2A
MBTPS1,MBTPS1
ZNF274,ZNF274
CLIC4,CLIC4
EIF4G1,EIF4G1
BTK,BTK
MYL9,MYL9
PSMD2,PSMD2
CLTC,CLTC
HSD17B10,HSD17B10
STX1A,STX1A
ALDOA,ALDOA
STAT5B,STAT5B
CCNA2,CCNA2
SDHB,SDHB
ETS1,ETS1
FOXO4,FOXO4
TOMM34,TOMM34
KIAA0907,KHDC4
HK1,HK1
PAPD7,TENT4A
PLOD3,PLOD3
TRAK2,TRAK2
VAPB,VAPB
HSPD1,HSPD1
BUB1B,BUB1B
MRPL12,MRPL12
PNP,PNP
CEBPA,CEBPA
PSMF1,PSMF1
USP1,USP1
RPA1,RPA1
KLHDC2,KLHDC2
SCARB1,SCARB1
TPM1,TPM1
TM9SF2,TM9SF2
ATF6,ATF6
NUP88,NUP88
FUT1,FUT1
PRUNE,PRUNE1
SYPL1,SYPL1
ZNF451,ZNF451
RALB,RALB
TRIM13,TRIM13
FBXO7,FBXO7
PPARD,PPARD
ENOSF1,ENOSF1
STAT3,STAT3
LIG1,LIG1
GNB5,GNB5
INSIG1,INSIG1
DNMT3A,DNMT3A
HIST2H2BE,HIST2H2BE
S100A4,S100A4
KTN1,KTN1
ARHGAP1,ARHGAP1
LPAR2,LPAR2
COASY,COASY
RASA1,RASA1
ATMIN,ATMIN
CASP3,CASP3
PSME2,PSME2
NISCH,NISCH
CPSF4,CPSF4
COPB2,COPB2
GADD45A,GADD45A
SMNDC1,SMNDC1
NUDCD3,NUDCD3
FGFR2,FGFR2
HMGCR,HMGCR
SLC35B1,SLC35B1
TIMP2,TIMP2
LSM6,LSM6
CALM3,CALM3
SACM1L,SACM1L
TCERG1,TCERG1
KIAA0196,WASHC5
DNM1,DNM1
DDIT4,DDIT4
ALAS1,ALAS1
PAFAH1B1,PAFAH1B1
PSRC1,PSRC1
ERO1L,ERO1A
APOE,APOE
RBM15B,RBM15B
TOMM70A,TOMM70
CBR1,CBR1
PRKCD,PRKCD
PIK3R4,PIK3R4
CSNK1E,CSNK1E
JUN,JUN
TMEM50A,TMEM50A
SCCPDH,SCCPDH
TSC22D3,TSC22D3
TFAP2A,TFAP2A
ZNF395,ZNF395
VPS72,VPS72
CLSTN1,CLSTN1
MAPK9,MAPK9
SKP1,SKP1
POP4,POP4
NFE2L2,NFE2L2
BLCAP,BLCAP
FAM20B,FAM20B
PROS1,PROS1
CRKL,CRKL
ZNF318,ZNF318
FDFT1,FDFT1
TRAP1,TRAP1
GTF2A2,GTF2A2
PSMD9,PSMD9
MTFR1,MTFR1
UBE2A,UBE2A
NIT1,NIT1
SYNGR3,SYNGR3
NFKB2,NFKB2
STK25,STK25
ABCF3,ABCF3
FCHO1,FCHO1
OXSR1,OXSR1
SMARCC1,SMARCC1
PAK6,PAK6
GHR,GHR
GLOD4,GLOD4
CDK4,CDK4
IL4R,IL4R
PRKAG2,PRKAG2
KIT,KIT
PTPRC,PTPRC
PSMG1,PSMG1
TMEM97,TMEM97
LRRC41,LRRC41
KIAA1279,KIFBP
TCEAL4,TCEAL4
NUP133,NUP133
NUP62,NUP62
SPTAN1,SPTAN1
MALT1,MALT1
YKT6,YKT6
KIF2C,KIF2C
NNT,NNT
COL1A1,COL1A1
CDC25A,CDC25A
TP53,TP53
IQGAP1,IQGAP1
EGR1,EGR1
MUC1,MUC1
AURKB,AURKB
HSPA4,HSPA4
TOP2A,TOP2A
NCK2,NCK2
AURKA,AURKA
B3GNT1,B4GAT1
CDK5R1,CDK5R1
SCP2,SCP2
RAD9A,RAD9A
DRAP1,DRAP1
PCMT1,PCMT1
FYN,FYN
MYC,MYC
POLB,POLB
CETN3,CETN3
SMC4,SMC4
SMARCD2,SMARCD2
MPZL1,MPZL1
NRAS,NRAS
EBNA1BP2,EBNA1BP2
TATDN2,TATDN2
LRPAP1,LRPAP1
BNIP3L,BNIP3L
TBPL1,TBPL1
RAE1,RAE1
CDK1,CDK1
SLC35A1,SLC35A1
NIPSNAP1,NIPSNAP1
BCL7B,BCL7B
TIMELESS,TIMELESS
DHX29,DHX29
MMP2,MMP2
TCEA2,TCEA2
FHL2,FHL2
FKBP4,FKBP4
KAT6A,KAT6A
CDK7,CDK7
MAP3K4,MAP3K4
ZFP36,ZFP36
INPP1,INPP1
RAC2,RAC2
HMOX1,HMOX1
COL4A1,COL4A1
EPB41L2,EPB41L2
GNAI2,GNAI2
TSTA3,TSTA3
DNMT1,DNMT1
RAB27A,RAB27A
DDR1,DDR1
LPGAT1,LPGAT1
DUSP11,DUSP11
TP53BP2,TP53BP2
CDKN1A,CDKN1A
TJP1,TJP1
ABCB6,ABCB6
MTHFD2,MTHFD2
PRAF2,PRAF2
DNTTIP2,DNTTIP2
HTATSF1,HTATSF1
NCAPD2,NCAPD2
TMEM109,TMEM109
ICAM1,ICAM1
NUP93,NUP93
PLA2G15,PLA2G15
PIP4K2B,PIP4K2B
MYCBP2,MYCBP2
PGRMC1,PGRMC1
AARS,AARS
GPC1,GPC1
ELAC2,ELAC2
PLSCR1,PLSCR1
CTSL1,CTSL
CTSD,CTSD
ARHGEF2,ARHGEF2
ILK,ILK
NFIL3,NFIL3
ARL4C,ARL4C
CPNE3,CPNE3
C5,C5
SCRN1,SCRN1
MAN2B1,MAN2B1
NFKBIA,NFKBIA
DCTD,DCTD
MBNL1,MBNL1
MYCBP,MYCBP
PTPN1,PTPN1
BRP44,MPC2
ECD,ECD
CIRBP,CIRBP
NFKBIE,NFKBIE
PRSS23,PRSS23
CCNH,CCNH
P4HA2,P4HA2
ATP6V0B,ATP6V0B
CAPN1,CAPN1
STXBP1,STXBP1
ITGB5,ITGB5
SLC11A2,SLC11A2
PDIA5,PDIA5
RAP1GAP,RAP1GAP
NOLC1,NOLC1
CAT,CAT
DUSP14,DUSP14
HMGA2,HMGA2
IGFBP3,IGFBP3
TRIB1,TRIB1
TP53BP1,TP53BP1
FRS2,FRS2
BECN1,BECN1
KDELR2,KDELR2
ELAVL1,ELAVL1
IFNAR1,IFNAR1
